feature,mean_abs_shap,rank
price_gap_min_competitor_pct,1.4784837886710331,1
gross_margin_rate,0.9707610904854719,2
estimated_cost,0.8224509546581104,3
grant_ratio_to_subtotal,0.7875877986309675,4
effective_price_after_grant,0.48351995371294293,5
price_gap_avg_competitor_pct,0.4673912168008759,6
unit_price,0.3336217647417074,7
price_gap_avg_competitor,0.2440520173702581,8
estimated_gross_profit,0.17282945812188752,9
price_gap_min_competitor,0.16547817498806108,10
subtotal_price,0.1271306161964195,11
qty,0.09344449494311383,12
product_model,0.06691252322274062,13
competitor_a,0.05813360734768441,14
higher_than_avg_competitor,0.025501852435828615,15
energy_grant_amount,0.016692813456336303,16
kw,0.012571344411648009,17
avg_competitor_price,0.007657008081573917,18
competitor_c,0.004081595611830708,19
competitor_b,0.0028433041532269147,20
is_lower_than_competitor,0.0004687447355044426,21
is_compe_b,0.0004018768088542858,22
is_compe_c,0.0003634977935766802,23
is_compe_a,0.0,24
min_competitor_price,0.0,25
competitor_count_available,0.0,26
max_competitor_price,0.0,27
